id,mural_title,school_name,borough,neighborhood,lat,lng,year,artist_names,students_involved,image_url,detail_url
429,BronxConnect RTG North: Blessed Community,BronxConnect RTG North,Bronx,West Farms,40.8498457,-73.8837998,2022,"Ashley ""Awesum"" Crawford, Kenneth Tooley","Pelumi Ayeni, Sydney Tirado, Jubilee Tooley, Gloria Zapata, May Bukowski, Pips, Tierra, Andrea Amanda",https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG_0904-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/blessed-community/
430,BronxConnect RTG North: Da Bronx,BronxConnect RTG North,Bronx,West Farms,40.8498457,-73.8837998,2022,Pips,"Sydney Tirado, Colleen Kong Savage, May Bukowski, Ashley Crawford, Peach Tao, Tierra, Pelumi Ayeni, Merari Hernandez, Gloria Zapata, Andrea Amanda",https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG_2394-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/bronxconnect-rtg-north/
431,BronxConnect RTG North: Good Music,BronxConnect RTG North,Bronx,West Farms,40.8498457,-73.8837998,2022,"Ashley ""Awesum"" Crawford, Kenneth ""Christ"" Tooley","Sydney Tirado, Jubilee Tooley, @ph718, @gzfotografias, @cera.bella, @gladitsknite, @tierra_luxury, @andreaamandaart",https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/rtg-north-feature2.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/good-music/
432,Grown in the Bronx: Claremont Community Art Walk x BronxConnect,,Bronx,Claremont,40.840047,-73.9036487,2022,"Michela Muserra, Colleen Kong Savage, Plushie's Workshop, May Bukowski, Andrea Amanda Art",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/12/20230627_100415-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/claremont-art-walk/
433,Bronx Proud: Claremont Community Art Walk x BronxConnect,,Bronx,Claremont,40.840047,-73.9036487,2022,"Michela Muserra, Colleen Kong Savage, Plushie's Workshop, May Bukowski, Andrea Amanda Art",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/IMG_0490-scaled.jpeg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/claremont-art-walk-2/
434,Cultivate: Claremont Community Art Walk x BronxConnect,,Bronx,Claremont,40.840047,-73.9036487,2022,"Marthalicia Matarrita, Colleen Kong Savage, Plushie's Workshop, May Bukowski, Andrea Amanda Art",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/12/20230627_100415-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/claremont-art-walk-3/
435,Play: Claremont Community Art Walk x BronxConnect,,Bronx,Claremont,40.840047,-73.9036487,2022,"Andre Trenier, Colleen Kong Savage, Plushie's Workshop, May Bukowski, Andrea Amanda Art",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/12/20230627_100415-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/claremont-walk-4/
436,Mitchel Community Center: Memories at Mitchel,Mitchel Community Center,Bronx,Mott Haven,40.8091134,-73.9252476,2022,"Savannah Zambrano, Sally Chen",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/05/Image-from-iOS-80-scaled.jpg?resize=1170%2C658&ssl=1,https://www.thrivecollective.org/portfolio/mitchel-community-center/
437,BronxConnect Headquarters: Bronx Connect,BronxConnect Headquarters,Bronx,Mott Haven,40.8152898,-73.9162134,2022,Marissa Molina,,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/rtg-north-feature2.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/bronxconnect-headquarters/
438,LRYOH: Love Where You Live,Living Redemption Youth Opportunity Hub,Manhattan,Morningside Heights,40.8095563,-73.9522846,2022,"Michela Muserra, Andrea Amanda, May Bukowsky",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2023/04/Image-from-iOS-15-scaled.jpg?fit=1920%2C1440&ssl=1,https://www.thrivecollective.org/portfolio/lryoh-love-where-you-live/
439,Frederick Douglass Academy: FDA Pride,Frederick Douglass Academy,Manhattan,Harlem,40.8242911,-73.9366898,2022,"DAZE, Stephen Uhey",,https://i0.wp.com/www.thrivecollective.org/wp-content/uploads/2025/08/fda-feature.jpeg?resize=560%2C560&ssl=1,https://www.thrivecollective.org/portfolio/frederick-douglass-academy-fda-pride/
